  -1.9936882e+00   3.6607750e-03
  -1.9139081e+00   7.4978095e-03
  -1.8341280e+00   1.1724649e-02
  -1.7543479e+00   1.6198929e-02
  -1.6745678e+00   2.1068099e-02
  -1.5947877e+00   2.6342327e-02
  -1.5150077e+00   3.2182618e-02
  -1.4352276e+00   3.8644903e-02
  -1.3554475e+00   4.5646135e-02
  -1.2756674e+00   5.3330373e-02
  -1.1958873e+00   6.2131486e-02
  -1.1161072e+00   7.1863046e-02
  -1.0363271e+00   8.2509800e-02
  -9.5654705e-01   9.4719163e-02
  -8.7676697e-01   1.0841317e-01
  -7.9698688e-01   1.2429178e-01
  -7.1720679e-01   1.4261769e-01
  -6.3742671e-01   1.6377392e-01
  -5.5764662e-01   1.8794012e-01
  -4.7786654e-01   2.1629587e-01
  -3.9808645e-01   2.4917505e-01
  -3.1830636e-01   2.8725220e-01
  -2.3852628e-01   3.3044256e-01
  -1.5874619e-01   3.7904952e-01
  -7.8966106e-02   4.3228329e-01
   8.1397964e-04   4.8916258e-01
   8.0594066e-02   5.4704858e-01
   1.6037415e-01   6.0301438e-01
   2.4015424e-01   6.5454148e-01
   3.1993432e-01   7.0126212e-01
   3.9971441e-01   7.4248312e-01
   4.7949450e-01   7.7761131e-01
   5.5927458e-01   8.0739748e-01
   6.3905467e-01   8.3276360e-01
   7.1883475e-01   8.5513500e-01
   7.9861484e-01   8.7462354e-01
   8.7839493e-01   8.9117499e-01
   9.5817501e-01   9.0566556e-01
   1.0379551e+00   9.1841726e-01
   1.1177352e+00   9.2990633e-01
   1.1975153e+00   9.3971246e-01
   1.2772954e+00   9.4867797e-01
   1.3570754e+00   9.5673676e-01
   1.4368555e+00   9.6387696e-01
   1.5166356e+00   9.7051212e-01
   1.5964157e+00   9.7658799e-01
   1.6761958e+00   9.8208254e-01
   1.7559759e+00   9.8706187e-01
   1.8357560e+00   9.9180224e-01
   1.9155360e+00   9.9600704e-01
   1.9953161e+00   1.0000000e+00
